Frequency (Hz),Period (uSecs),Max Duty Cycle (Percent),Max Pulse Width (uSecs),PWM Divider,PWM Range
1,"1,000,000.00",21.33%,"213,333.33",4000,4800
4,"218,400.00",100.00%,"218,400.00",4095,1024
5,"200,000.00",100.00%,"200,000.00",3750,1024
6,"166,666.67",100.00%,"166,666.67",3125,1024
7,"142,828.65",100.00%,"142,828.65",4093,670
8,"124,992.29",100.00%,"124,992.29",2429,988
9,"111,092.40",100.00%,"111,092.40",4094,521
10,"100,000.00",100.00%,"100,000.00",1875,1024
10,"100,000.00",100.00%,"100,000.00",1875,1024
11,"90,904.69",100.00%,"90,904.69",1935,902
12,"83,331.88",100.00%,"83,331.88",4092,391
13,"76,919.32",100.00%,"76,919.32",4091,361
14,"71,414.32",100.00%,"71,414.32",4093,335
15,"66,666.67",100.00%,"66,666.67",1250,1024
16,"62,493.33",100.00%,"62,493.33",1376,872
17,"58,822.50",100.00%,"58,822.50",4092,276
18,"55,453.13",100.00%,"55,453.13",4095,260
19,"52,629.01",100.00%,"52,629.01",4091,247
20,"49,953.33",100.00%,"49,953.33",944,1016
21,"47,593.33",100.00%,"47,593.33",944,968
22,"45,430.00",100.00%,"45,430.00",944,924
23,"43,477.50",100.00%,"43,477.50",4092,204
24,"41,644.17",100.00%,"41,644.17",944,847
24,"41,644.17",100.00%,"41,644.17",944,847
25,"40,000.00",100.00%,"40,000.00",750,1024
26,"38,448.33",100.00%,"38,448.33",944,782
27,"37,022.50",100.00%,"37,022.50",944,753
28,"35,695.00",100.00%,"35,695.00",944,726
29,"34,465.83",100.00%,"34,465.83",944,701
30,"33,333.33",100.00%,"33,333.33",625,1024
31,"32,253.33",100.00%,"32,253.33",944,656
32,"31,220.83",100.00%,"31,220.83",944,635
33,"30,286.67",100.00%,"30,286.67",944,616
34,"29,411.25",100.00%,"29,411.25",4092,138
35,"28,565.83",100.00%,"28,565.83",944,581
36,"27,759.38",100.00%,"27,759.38",945,564
37,"26,880.00",100.00%,"26,880.00",504,1024
38,"26,293.33",100.00%,"26,293.33",493,1024
39,"25,621.56",100.00%,"25,621.56",489,1006
40,"24,984.84",100.00%,"24,984.84",489,981
